tradeDate,closeIndex,highestIndex,lowestIndex,turnoverVol,CHG,CHGPct
2010-01-04,3535.23,3597.75,3535.23,6610108000,-40.45,-0.011313
2010-01-05,3564.04,3577.53,3497.66,8580964100,28.81,0.008149
2010-01-06,3541.73,3588.83,3541.17,7847312500,-22.31,-0.00626
2010-01-07,3471.46,3558.56,3452.77,8035003700,-70.27,-0.019841
2010-01-08,3480.13,3482.08,3426.7,6079025300,8.67,0.002498
2010-01-11,3482.05,3594.53,3465.32,8998017200,1.92,0.000552
2010-01-12,3534.92,3535.41,3437.66,9374327800,52.87,0.015184
2010-01-13,3421.14,3490.11,3415.69,11245790100,-113.78,-0.032187
2010-01-14,3469.05,3470.32,3411.81,8335325200,47.91,0.014004
2010-01-15,3482.74,3500.07,3448.66,7254310200,13.69,0.003946
2010-01-18,3500.68,3501.26,3458.04,8285430700,17.94,0.005151
2010-01-19,3507.48,3528.39,3497.09,7488323200,6.8,0.001942
2010-01-20,3394.43,3515.45,3387.82,9249514600,-113.05,-0.032231
2010-01-21,3408.57,3425.18,3364.72,7059506800,14.14,0.004166
2010-01-22,3366.2,3390.8,3293.19,8893340400,-42.37,-0.01243
2010-01-25,3328.01,3372.43,3326.27,5684917100,-38.19,-0.011345
2010-01-26,3242.8,3341.2,3222.14,6175223100,-85.21,-0.025604
2010-01-27,3198.57,3255.12,3183.37,5269139400,-44.23,-0.013639
2010-01-28,3206.57,3220.31,3168.46,4699071600,8.0,0.002501
2010-01-29,3204.16,3249.46,3176.92,5026261300,-2.41,-0.000752
2010-02-01,3152.71,3198.31,3116.44,5700138000,-51.45,-0.016057
2010-02-02,3146.19,3211.94,3143.09,5013003300,-6.52,-0.002068
2010-02-03,3230.72,3231.1,3094.57,6479889400,84.53,0.026867
2010-02-04,3218.8,3242.52,3190.44,5897272600,-11.92,-0.00369
2010-02-05,3153.09,3177.42,3129.92,5910584500,-65.71,-0.020414
2010-02-08,3150.99,3172.31,3133.81,3735595100,-2.1,-0.000666
2010-02-09,3169.19,3178.95,3144.48,3595315800,18.2,0.005776
2010-02-10,3214.13,3214.46,3182.83,3421989400,44.94,0.01418
2010-02-11,3220.4,3238.35,3207.17,3579105200,6.27,0.001951
2010-02-12,3251.28,3253.2,3228.74,3405823800,30.88,0.009589
2010-02-22,3233.35,3261.95,3232.78,3828377200,-17.93,-0.005515
2010-02-23,3198.63,3225.39,3152.93,4274289800,-34.72,-0.010738
2010-02-24,3244.48,3244.82,3165.13,4998943700,45.85,0.014334
2010-02-25,3292.13,3294.14,3249.33,6758661700,47.65,0.014686
2010-02-26,3281.67,3301.15,3273.69,5210728800,-10.46,-0.003177
2010-03-01,3324.42,3330.38,3287.56,6050452000,42.75,0.013027
2010-03-02,3311.24,3339.89,3299.69,5703437400,-13.18,-0.003965
2010-03-03,3335.08,3335.65,3293.92,6062273200,23.84,0.0072
2010-03-04,3250.57,3345.91,3244.98,6934681000,-84.51,-0.02534
2010-03-05,3259.76,3276.4,3239.68,4562913800,9.19,0.002827
2010-03-08,3286.18,3293.93,3258.03,4154087600,26.42,0.008105
2010-03-09,3305.86,3322.51,3255.98,5419948600,19.68,0.005989
2010-03-10,3279.69,3321.08,3267.76,4642107900,-26.17,-0.007916
2010-03-11,3276.71,3303.49,3251.7,4748775400,-2.98,-0.000909
2010-03-12,3233.13,3284.26,3232.12,3995734400,-43.58,-0.0133
2010-03-15,3183.18,3234.82,3171.8,3784430400,-49.95,-0.015449
2010-03-16,3203.97,3204.29,3169.1,3084778000,20.79,0.006531
2010-03-17,3273.92,3274.0,3207.27,4580093400,69.95,0.021832
2010-03-18,3267.56,3295.37,3256.59,4694801300,-6.36,-0.001943
2010-03-19,3293.87,3296.41,3251.14,4606218700,26.31,0.008052
2010-03-22,3302.63,3313.92,3288.51,4943946200,8.76,0.002659
2010-03-23,3275.57,3309.12,3272.92,4653953600,-27.06,-0.008193
2010-03-24,3276.67,3298.54,3271.03,4454796600,1.1,0.000336
2010-03-25,3229.13,3270.39,3222.82,4498428500,-47.54,-0.014509
2010-03-26,3275.0,3285.39,3220.59,4744496500,45.87,0.014205
2010-03-29,3358.54,3363.61,3293.67,8472491000,83.54,0.025508
2010-03-30,3366.71,3372.27,3350.31,5643698000,8.17,0.002433
2010-03-31,3345.61,3369.9,3338.75,5312428700,-21.1,-0.006267
2010-04-01,3391.94,3392.48,3349.88,6777266900,46.33,0.013848
2010-04-02,3407.35,3412.2,3391.81,6907345200,15.41,0.004543
2010-04-06,3405.15,3436.29,3386.89,6519171000,-2.2,-0.000646
2010-04-07,3386.95,3404.58,3369.02,5401122800,-18.2,-0.005345
2010-04-08,3346.74,3381.31,3336.16,6218532200,-40.21,-0.011872
2010-04-09,3379.17,3379.4,3342.47,5128056700,32.43,0.00969
2010-04-12,3351.48,3393.56,3330.3,7456515000,-27.69,-0.008194
2010-04-13,3391.72,3401.71,3324.05,7990769500,40.24,0.012007
2010-04-14,3403.71,3404.52,3377.44,6030613100,11.99,0.003535
2010-04-15,3394.57,3412.94,3365.88,6105168500,-9.14,-0.002685
2010-04-16,3356.33,3388.29,3348.78,4714036800,-38.24,-0.011265
2010-04-19,3176.42,3313.5,3175.44,8841630000,-179.91,-0.053603
2010-04-20,3173.37,3196.65,3130.96,6413785900,-3.05,-0.00096
2010-04-21,3236.68,3237.54,3164.77,6692833100,63.31,0.01995
2010-04-22,3201.54,3231.99,3177.73,7108168800,-35.14,-0.010857
2010-04-23,3190.0,3224.74,3172.58,6125267900,-11.54,-0.003605
2010-04-26,3172.0,3207.72,3168.37,5089419900,-18.0,-0.005643
2010-04-27,3108.41,3163.1,3060.85,6529657400,-63.59,-0.020047
2010-04-28,3097.35,3122.12,3062.09,4599540600,-11.06,-0.003558
